"COMPANY NAME","SECURITY TYPE","ISSUE PRICE","Symbol","ISSUE START DATE","ISSUE END DATE","PRICE RANGE","DATE OF LISTING"
"V L Infraprojects Limited","SME","42","VLINFRA","23-JUL-2024","25-JUL-2024","Rs.39 to Rs.42","30-JUL-2024"
"SAR Televenture Limited - FPO","SME","-","SARTELEFPO","22-JUL-2024","24-JUL-2024","Rs.200 to Rs.210","-"
"RNFI Services Limited","SME","105","RNFI","22-JUL-2024","24-JUL-2024","Rs.98 to Rs.105","29-JUL-2024"
"Sanstar Limited","EQ","    95","SANSTAR","19-JUL-2024","23-JUL-2024","Rs.90 to Rs.95","26-JUL-2024"
"SMC Global Securities Limited","DEBT","-","SMCG01","19-JUL-2024","01-AUG-2024","Rs.1000","-"
"Macobs Technologies Limited","SME","75","MACOBSTECH","16-JUL-2024","19-JUL-2024","Rs.71 to Rs.75","24-JUL-2024"
"Kataria Industries Limited","SME","96","KATARIA","16-JUL-2024","19-JUL-2024","Rs.91 to Rs.96","24-JUL-2024"
"Tunwal E-Motors Limited","SME","59","TUNWAL","15-JUL-2024","18-JUL-2024","Rs.59","23-JUL-2024"
"Prizor Viztech Limited","SME","87","PRIZOR","12-JUL-2024","16-JUL-2024","Rs.82 to Rs.87","22-JUL-2024"
"Sati Poly Plast Limited","SME","130","SATIPOLY","12-JUL-2024","16-JUL-2024","Rs.123 to Rs.130","22-JUL-2024"
"Sahaj Solar Limited","SME","180","SAHAJSOLAR","11-JUL-2024","15-JUL-2024","Rs.171 to Rs.180","19-JUL-2024"
"Effwa Infra & Research Limited","SME","82","EFFWA","05-JUL-2024","09-JUL-2024","Rs.78 to Rs.82","12-JUL-2024"
"Ganesh Green Bharat Limited","SME","190","GGBL","05-JUL-2024","09-JUL-2024","Rs.181 to Rs.190","12-JUL-2024"
"Ambey Laboratories Limited","SME","68","AMBEY","04-JUL-2024","08-JUL-2024","Rs.65 to Rs.68","11-JUL-2024"
